Date,Open,High,Low,Close,Volume
2020-01-16 00:00:00-05:00,222.57,222.63,220.39,221.86,8272426
2020-01-17 00:00:00-05:00,221.93,222.29,220.53,222.13,12680623
2020-01-21 00:00:00-05:00,222.155,222.37,219.12,221.47,22381418
2020-01-22 00:00:00-05:00,222.31,222.75,221.28,221.29,21016884
2020-01-23 00:00:00-05:00,220.75,221.485,219.27,219.67,16366956
2020-01-24 00:00:00-05:00,220.7,221.78,216.11,217.929,20550870
2020-01-27 00:00:00-05:00,213.1,216.06,212.5,214.87,10900513
2020-01-28 00:00:00-05:00,216.15,218.74,213.52,217.79,11092215
2020-01-29 00:00:00-05:00,221.44,224.2,218.45,223.31,23780844
2020-01-30 00:00:00-05:00,206.53,211.43,204.75,209.58,45240148
2020-01-31 00:00:00-05:00,208.43,208.69,201.06,201.89,28269569
2020-02-03 00:00:00-05:00,203.44,205.14,202.5,204.19,13665236
2020-02-04 00:00:00-05:00,206.6165,210.6,205.2025,209.87,16696516
2020-02-05 00:00:00-05:00,212.51,212.73,208.71,210.23,10735308
2020-02-06 00:00:00-05:00,210.47,211.19,209.338,210.87,9388014
2020-02-07 00:00:00-05:00,210.3,212.82,209.93,212.34,10171955
2020-02-10 00:00:00-05:00,211.52,213.8,210.66,213.1,8937162
2020-02-11 00:00:00-05:00,210.19,210.86,206.5102,207.15,23868172
2020-02-12 00:00:00-05:00,207.85,211.22,207.4,210.755,12022419
2020-02-13 00:00:00-05:00,209.5235,214.3259,209.18,213.12,13708195
2020-02-14 00:00:00-05:00,214,214.93,212.65,214.18,8864827
2020-02-18 00:00:00-05:00,213.55,217.975,213.4,217.76,14599279
2020-02-19 00:00:00-05:00,217.99,218.32,216.11,217.5,10691678
2020-02-20 00:00:00-05:00,216.52,218.765,212.945,214.58,11744799
2020-02-21 00:00:00-05:00,213.48,214.237,208.8305,210.16,12671114
2020-02-24 00:00:00-05:00,201.8,203.65,198.17,200.73,20406271
2020-02-25 00:00:00-05:00,202.47,203.5,195.9537,196.64,18833578
2020-02-26 00:00:00-05:00,197.19,201.21,195.49,197.18,15234727
2020-02-27 00:00:00-05:00,191.99,195.88,189.5,189.69,19313106
2020-02-28 00:00:00-05:00,182.61,192.74,181.82,192.74,28054197
2020-03-02 00:00:00-05:00,194.1,196.57,188.85,196.54,21795546
2020-03-03 00:00:00-05:00,196.22,197.24,183.97,185.89,24693345
2020-03-04 00:00:00-05:00,189.05,191.83,186.39,191.79,20486825
